24,01/07/2006 00:00,This is the July 2006 Rubyforge run.
30,01/08/2006 00:00,Rubyforge August 2006 run
31,01/09/2006 10:35,This is the September Rubyforge run.
35,02/10/2006 00:00,This is the October Rubyforge run
39,01/12/2006 00:00,This is the December 2006 Rubyforge run.
43,01/01/2007 00:00,"Rubyforge, January 2007"
48,01/02/2007 00:00,"February 1, 2007 Rubyforge run"
53,01/03/2007 00:00,This is the March 2007 Rubyforge data.
59,01/04/2007 00:00,April 2007 Rubyforge run
64,02/05/2007 00:00,Rubyforge May 2007 run
70,01/06/2007 00:00,2007 June Rubyforge
76,01/07/2007 00:00,2007 July Rubyforge run
82,01/08/2007 00:00,2007 August RF run
88,03/09/2007 00:00,RubyForge September 2007
95,01/10/2007 00:00,2007-Oct Rubyforge run
100,01/11/2007 00:00,2007 Nov Rubyforge run
105,01/12/2007 00:00,December 2007 Rubyforge
108,02/01/2008 10:17,Rubyforge January 2008
112,01/02/2008 00:00,February 2008 Rubyforge run
116,01/03/2008 00:00,March 2008 Rubyforge run
121,01/04/2008 00:00,2008-Apr Rubyforge run
125,05/05/2008 00:00,2008-May RubyForge run
134,01/07/2008 00:00,2008-Jul Rubyforge run
140,05/08/2008 00:00,2008-Aug Rubyforge
145,01/10/2008 00:00,2008-Oct Rubyforge run
152,30/11/2008 17:16,NULL
157,31/01/2009 21:32,Rubyforge February 2009
161,02/03/2009 00:00,2009 March Rubyforge
166,01/04/2009 00:00,Rubyforge April 2009
169,01/05/2009 19:20,Rubyforge May 2009
174,01/06/2009 00:00,June 2009 Rubyforge run
179,05/07/2009 00:00,2009 July Rubyforge
184,01/09/2009 00:00,2009-Sep Rubyforge
189,02/10/2009 00:00,2009 October Rubyforge
195,02/11/2009 00:00,
201,02/12/2009 11:41,2009-Dec Rubyforge
208,14/04/2010 00:00,"Restore from backup - Rubyforge - February Data, April Restore."
219,03/05/2010 00:00,2010-May Rubyforge run
229,07/09/2010 00:00,2010-Sep Rubyforge collection
238,14/01/2011 00:00,2011-Jan Rubyforge collection
248,03/03/2011 19:53,Rubyforge 2011-Mar
256,04/04/2011 12:21,Rubyforge 2011-Apr
266,03/05/2011 08:48,Rubyforge 2011-May
279,31/08/2011 16:23,Rubyforge 2011-Sep
289,01/11/2011 13:34,Rubyforge 2011-Nov
298,17/01/2012 13:05,Rubyforge 2012-Jan
307,21/05/2012 12:13,Rubyforge 2012-May
317,23/07/2012 09:56,Rubyforge 2012-Jul
332,09/08/2012 13:10,Rubyforge 2012-Aug
336,05/09/2012 07:51,Rubyforge 2012-Sep
344,01/11/2012 11:01,Rubyforge 2012-Nov
375,21/03/2013 08:18,Rubyforge 2013-Mar
382,26/06/2013 14:59,Rubyforge 2013-Jun
388,11/09/2013 11:04,Rubyforge 2013-Sep
1573,03/12/2013 11:52,Rubyforge 2013-Dec
8080,05/03/2014 11:17,Rubyforge 2014-Mar
12987,14/05/2014 09:47,Rubyforge 2014-May
